"","gene_symbol","mean_rank","median_rank","direction_foldchange"
"1558","Agap1",1422.61111111111,1411.5,1
"1559","Sharpin",1423.05555555556,1422.5,-1
"1560","Fam20b",1423.38888888889,1250.5,1
"1561","Mis12",1423.38888888889,1544.5,-1
"1562","Ocrl",1423.38888888889,1443,1
"1563","Ddx58",1425.5,1481,1
"1564","Heatr5a",1425.61111111111,1783,1
"1565","Hivep2",1426,1564,1
"1566","Gmps",1426.33333333333,1466,-1
"1567","Ubxn6",1426.38888888889,1529,-1
"1568","St7l",1426.55555555556,1493,-1
"1569","Kifap3",1427.11111111111,1490,1
"1570","Mtif3",1427.38888888889,1375.5,-1
"1571","Capza1",1427.38888888889,1341,1
"1572","Grip1",1427.55555555556,1549.5,1
"1573","Dars",1427.66666666667,1302,-1
"1574","Rab18",1428.27777777778,1392,-1
"1575","Pcsk7",1428.61111111111,1360,-1
"1576","Babam1",1428.83333333333,1317,-1
"1577","Hinfp",1428.94444444444,1509,-1
"1578","Hnrnpu",1429.55555555556,1442,-1
"1579","Stk24",1429.61111111111,1451.5,1
"1580","Zfp362",1429.83333333333,1264.5,1
"1581","Ndufa10",1429.94444444444,1203,-1
"1582","Lrrc20",1430.11111111111,1569,1
"1583","Slc15a5",1430.38888888889,1721,-1
"1584","Fech",1431.27777777778,1520.5,-1
"1585","Pld1",1431.88888888889,1374,1
"1586","Acsm3",1432.27777777778,1533,-1
"1587","Rbx1",1432.33333333333,1335.5,-1
"1588","Mid2",1432.94444444444,1592,1
"1589","Mrto4",1433.16666666667,1554.5,-1
"1590","Zfp235",1433.61111111111,1655,-1
"1591","Rpl30",1433.77777777778,1721,-1
"1592","Il15",1433.88888888889,1322,1
"1593","Ndufs5",1433.94444444444,1483,-1
"1594","Cox11",1433.94444444444,1558.5,-1
"1595","Cab39l",1434.38888888889,1382.5,-1
"1596","Edrf1",1434.88888888889,1444.5,-1
"1597","Dtd1",1436.05555555556,1433,-1
"1598","Pml",1437,1272.5,1
"1599","Dpp4",1440,1371,-1
"1600","Lman1",1441,1534.5,-1
"1601","Ccdc25",1441.22222222222,1526.5,-1
"1602","Mpp4",1441.22222222222,1322.5,-1
"1603","Fem1a",1441.72222222222,1540.5,-1
"1604","Tnrc6b",1441.94444444444,1478.5,-1
"1605","Brix1",1442.27777777778,1489,-1
"1606","Sgsm2",1442.33333333333,1636.5,1
"1607","Acyp2",1442.66666666667,1466,1
"1608","Hnrnpk",1443.05555555556,1660,-1
"1609","Cdk5rap2",1443.05555555556,1511.5,1
"1610","Hspa4l",1443.66666666667,1504.5,1
"1611","Thap2",1443.72222222222,1418.5,-1
"1612","Mknk1",1443.83333333333,1469,1
"1613","Ttf2",1444.55555555556,1525.5,1
"1614","Tm9sf1",1445.11111111111,1697,-1
"1615","Ccdc162",1445.33333333333,1651.5,-1
"1616","Glrx5",1446.55555555556,1511,-1
"1617","Bud31",1447,1501.5,-1
"1618","Bfar",1447.66666666667,1683,-1
"1619","Aspscr1",1447.83333333333,1463.5,-1
"1620","Mnt",1447.88888888889,1557,1
"1621","Adck1",1448.27777777778,1679,-1
"1622","Celf1",1448.77777777778,1392,-1
"1623","Emc2",1449.27777777778,1609.5,-1
"1624","Ankfy1",1449.33333333333,1445,1
"1625","Hspbp1",1449.55555555556,1351.5,-1
"1626","Rpl11",1449.66666666667,1536,-1
"1627","Tomm22",1450,1487.5,-1
"1628","Greb1l",1450.11111111111,1416.5,1
"1629","Mfn1",1450.16666666667,1489,-1
"1630","Dvl1",1450.72222222222,1455,-1
"1631","Mrpl20",1451.27777777778,1519,-1
"1632","Fxn",1451.55555555556,1488.5,-1
"1633","Cct7",1451.83333333333,1366,-1
"1634","Trim25",1452.27777777778,1630,1
"1635","Ints6",1452.38888888889,1633.5,-1
"1636","Rgl3",1452.94444444444,1400.5,-1
"1637","1110051M20Rik",1453.94444444444,1463,-1
"1638","Men1",1454.22222222222,1525.5,-1
"1639","Mpv17l2",1454.27777777778,1583.5,-1
"1640","Tmem140",1454.27777777778,1468.5,1
"1641","Rwdd4a",1455.05555555556,1411.5,-1
"1642","Nsun4",1455.27777777778,1472.5,-1
"1643","Ube2g1",1455.94444444444,1504.5,-1
"1644","Rbfa",1456.44444444444,1563,-1
"1645","Jade2",1457.05555555556,1402.5,1
"1646","Tmem51",1457.05555555556,1600,1
"1647","Aars",1457.38888888889,1623,-1
"1648","Anapc13",1459,1561,-1
"1649","Qk",1459.77777777778,1362.5,1
"1650","Map2k2",1459.88888888889,1364,-1
"1651","Wdr33",1460.16666666667,1405,-1
"1652","Ppil2",1460.22222222222,1497.5,-1
"1653","Mapk1ip1l",1460.83333333333,1455,-1
"1654","Rrm1",1461.05555555556,1491.5,1
"1655","Mef2a",1461.05555555556,1473.5,1
"1656","Tpi1",1461.05555555556,1687.5,-1
"1657","Cisd2",1461.61111111111,1608,-1
"1658","Dtd2",1462.11111111111,1375.5,-1
"1659","Snrpe",1463.16666666667,1461.5,-1
"1660","Osgepl1",1463.16666666667,1324,-1
"1661","Lamtor2",1463.22222222222,1374.5,-1
"1662","Zdhhc6",1463.5,1561,-1
"1663","Ppp2r5e",1463.77777777778,1357,-1
"1664","Trip10",1464,1509,1
"1665","Trappc3",1464.27777777778,1524.5,-1
"1666","Smg1",1464.5,1388,1
"1667","Cables2",1464.55555555556,1526.5,-1
"1668","Ap1s1",1464.72222222222,1455,1
"1669","Nup88",1465.88888888889,1408.5,-1
"1670","Pigyl",1466.16666666667,1412,-1
"1671","Chchd6",1466.66666666667,1544.5,1
"1672","Pet100",1466.66666666667,1502,-1
"1673","Stoml2",1466.83333333333,1535.5,-1
"1674","Ptcd2",1467.83333333333,1590.5,-1
"1675","Smchd1",1469,1511,1
"1676","Tlr3",1469.22222222222,1418,1
"1677","Ap4s1",1470.16666666667,1472.5,-1
"1678","Sh2d4a",1470.72222222222,1385,1
"1679","Lrrcc1",1471.22222222222,1376.5,1
"1680","Tpm3",1471.27777777778,1572,1
"1681","Nat9",1471.38888888889,1615,-1
"1682","Abce1",1472.16666666667,1367.5,-1
"1683","Sacm1l",1472.44444444444,1593.5,-1
"1684","Kptn",1473.66666666667,1449.5,-1
"1685","Cutc",1474,1465,-1
"1686","Ndufaf2",1474.27777777778,1355,-1
"1687","Trio",1474.83333333333,1435,1
"1688","Nuak1",1474.88888888889,1363,1
"1689","Prorsd1",1474.94444444444,1517,-1
"1690","Jak1",1476,1373,1
"1691","Mlf2",1476.05555555556,1407,-1
"1692","Phospho2",1476.77777777778,1570,-1
"1693","Myo7a",1476.94444444444,1440.5,1
"1694","Robo1",1477.27777777778,1631.5,1
"1695","AU022252",1477.44444444444,1547.5,-1
"1696","Hspbap1",1477.5,1413,1
"1697","Ell2",1478.22222222222,1571.5,-1
"1698","1110004F10Rik",1478.27777777778,1445,-1
"1699","Marf1",1478.38888888889,1517,-1
"1700","Uxt",1478.38888888889,1541.5,-1
"1701","Yipf6",1479.55555555556,1429.5,-1
"1702","Adgrg6",1479.77777777778,1410.5,1
"1703","Dhrs1",1479.83333333333,1511,-1
"1704","Polr3k",1480.44444444444,1680.5,-1
"1705","Cep112",1480.72222222222,1550,1
"1706","Tmem170b",1481.72222222222,1498,-1
"1707","Jmjd6",1481.88888888889,1487,-1
"1708","Mrpl43",1482.05555555556,1745.5,-1
"1709","Dhx16",1482.27777777778,1606,-1
"1710","Hs3st3b1",1482.72222222222,1530,-1
"1711","Xpo7",1483.16666666667,1299.5,-1
"1712","Ythdc1",1483.38888888889,1546.5,-1
"1713","Maz",1483.77777777778,1467.5,1
"1714","Exd1",1484.22222222222,1553.5,-1
"1715","Tmem266",1484.5,1495.5,-1
"1716","Tmem11",1484.5,1609,-1
"1717","Ift80",1484.61111111111,1533.5,1
"1718","Mlh1",1485.16666666667,1423.5,-1
"1719","Ppox",1485.5,1345.5,-1
"1720","Cebpg",1485.83333333333,1430,1
"1721","Rrnad1",1485.88888888889,1424.5,-1
"1722","Rrp1",1486.55555555556,1606.5,-1
"1723","Eya3",1486.77777777778,1436.5,1
"1724","Rbmx",1486.83333333333,1580.5,-1
"1725","Mllt3",1488,1324.5,1
"1726","Ap5s1",1488.94444444444,1587,-1
"1727","Pola1",1489.05555555556,1532,1
"1728","Metap1d",1489.11111111111,1652.5,-1
"1729","Tsg101",1490.05555555556,1560,-1
"1730","Heatr3",1490.5,1545.5,-1
"1731","Cdc14a",1491.5,1589,1
"1732","Mycbp",1492.22222222222,1523,-1
"1733","Dph1",1493.05555555556,1533.5,-1
"1734","Oxr1",1493.11111111111,1647.5,-1
"1735","Hmgb1",1493.44444444444,1433.5,-1
"1736","Mtg1",1494.05555555556,1364,-1
"1737","Hells",1494.33333333333,1525,1
"1738","Rnf38",1494.44444444444,1536,1
"1739","Sec62",1494.61111111111,1734.5,-1
"1740","Zfp40",1494.77777777778,1747,1
"1741","Ndufab1",1495,1699,-1
"1742","Fam98c",1495.33333333333,1610,-1
"1743","Ccnt1",1495.5,1654.5,-1
"1744","Mrps2",1495.83333333333,1588.5,-1
"1745","Psmd12",1496,1324,-1
"1746","Ctc1",1496.11111111111,1581,1
"1747","Pip4k2c",1496.22222222222,1420,1
"1748","Brms1",1496.27777777778,1351.5,-1
"1749","Ociad1",1496.38888888889,1389,-1
"1750","Akap5",1497.05555555556,1663.5,-1
"1751","Gpr137",1497.16666666667,1568.5,-1
"1752","Acap2",1497.27777777778,1468,1
"1753","Cdc123",1498.11111111111,1765,-1
"1754","Dusp12",1498.72222222222,1588,-1
"1755","Kdm2b",1498.77777777778,1501,1
"1756","Apoo",1498.94444444444,1315,-1
"1757","Lin52",1499.38888888889,1474.5,-1
"1758","Ndfip2",1499.66666666667,1414.5,1
"1759","Crlf3",1500.38888888889,1473,1
"1760","Uros",1500.5,1253,-1
"1761","Brd9",1500.55555555556,1457,1
"1762","Wdr44",1500.55555555556,1368,1
"1763","Map3k3",1500.77777777778,1482,1
"1764","Ankrd44",1500.83333333333,1488.5,1
"1765","Anks4b",1501.5,1754,-1
"1766","Elovl1",1502.16666666667,1610,1
"1767","Magoh",1502.38888888889,1416.5,-1
"1768","Casp2",1502.38888888889,1508.5,1
"1769","Rprd1b",1502.44444444444,1337,-1
"1770","Eif2s3y",1502.66666666667,1456,-1
"1771","Tiparp",1502.72222222222,1559,1
"1772","Parl",1502.77777777778,1565.5,-1
"1773","Aasdh",1503.22222222222,1660,-1
"1774","Bmp2k",1503.72222222222,1539.5,1
"1775","Dap3",1503.72222222222,1508,-1
"1776","Rhot1",1504.16666666667,1477,-1
"1777","Atrnl1",1504.38888888889,1626,-1
"1778","Sdk1",1504.38888888889,1500,1
"1779","Psmg2",1504.5,1417,-1
"1780","Ssr2",1504.66666666667,1377.5,-1
"1781","Sypl",1504.94444444444,1346.5,1
"1782","Rpl27a",1505.11111111111,1714.5,-1
"1783","Smlr1",1505.11111111111,1624,-1
"1784","Mtfr1l",1506.11111111111,1742,-1
"1785","Polrmt",1506.5,1623.5,-1
"1786","Ninl",1506.55555555556,1639,1
"1787","Hnrnpa2b1",1506.77777777778,1589,-1
"1788","Prkag1",1506.83333333333,1507.5,-1
"1789","Prkar1a",1506.94444444444,1565.5,-1
"1790","Nkiras1",1507.33333333333,1533,-1
"1791","Rap1gds1",1507.44444444444,1562,1
"1792","Cep162",1507.77777777778,1564.5,1
"1793","Dnajb6",1507.83333333333,1729,-1
"1794","Tbca",1508.16666666667,1619.5,-1
"1795","Bcap31",1508.33333333333,1601.5,-1
"1796","Col25a1",1509.38888888889,1660.5,-1
"1797","Zdhhc13",1509.77777777778,1272,1
"1798","Cables1",1509.83333333333,1415,1
"1799","Mbnl3",1510.66666666667,1457.5,1
"1800","Zranb1",1511.11111111111,1569.5,-1
"1801","1810034E14Rik",1511.16666666667,1647.5,-1
"1802","Sdf2",1511.22222222222,1586.5,-1
"1803","Dcaf13",1511.33333333333,1607,-1
"1804","Hibch",1511.77777777778,1618,-1
"1805","Tbc1d19",1512,1622,1
"1806","Fbxo9",1512.88888888889,1637.5,-1
"1807","Ptpra",1513.88888888889,1607.5,1
"1808","Ube2d3",1514,1639,-1
"1809","Mrps28",1514.05555555556,1520.5,-1
"1810","Chtop",1514.16666666667,1497,-1
"1811","Yod1",1514.66666666667,1637,-1
"1812","Mfsd14a",1514.83333333333,1620.5,-1
"1813","Spin1",1514.83333333333,1489.5,-1
"1814","Mrps26",1515.66666666667,1630,-1
"1815","Med26",1515.83333333333,1911,-1
"1816","Cdh18",1516.72222222222,1737.5,1
"1817","Slc38a7",1516.77777777778,1591,1
"1818","Pfdn5",1517.16666666667,1536.5,-1
"1819","Mettl5",1517.22222222222,1793,-1
"1820","Taf13",1518.55555555556,1479,-1
"1821","Astn2",1519.05555555556,1579,1
"1822","Lmf2",1519.05555555556,1673,1
"1823","Clasp2",1519.61111111111,1601,1
"1824","Aagab",1519.66666666667,1688,-1
"1825","BC003965",1520.22222222222,1521.5,-1
"1826","Prrg1",1520.88888888889,1623,1
"1827","Zfp36",1521.66666666667,1906.5,-1
"1828","Polr1d",1521.77777777778,1733,-1
"1829","Zfp322a",1521.83333333333,1479.5,-1
"1830","Dtwd1",1521.94444444444,1514.5,-1
"1831","Prkd2",1522.27777777778,1596,1
"1832","Mrpl17",1522.38888888889,1510,-1
"1833","Pold3",1522.61111111111,1590.5,1
"1834","Ube2w",1522.66666666667,1558.5,-1
"1835","Arl1",1522.94444444444,1713,-1
"1836","Ubac2",1523.33333333333,1527.5,-1
"1837","Abca14",1523.38888888889,1623,-1
"1838","Pde1a",1524.22222222222,1618,1
"1839","Eml2",1524.44444444444,1487,1
"1840","Ccdc84",1525.22222222222,1451.5,-1
"1841","Dctn3",1525.88888888889,1546,-1
"1842","Lgals8",1526.16666666667,1417,-1
"1843","Psmc2",1527.16666666667,1470.5,-1
"1844","Myef2",1527.44444444444,1553,1
"1845","Bckdhb",1527.5,1595.5,-1
"1846","Eif4h",1527.61111111111,1546,-1
"1847","Sfxn2",1527.72222222222,1592.5,-1
"1848","Plod3",1527.88888888889,1600.5,1
"1849","Atg5",1528.11111111111,1350.5,-1
"1850","Snf8",1528.61111111111,1711,-1
"1851","Pym1",1528.77777777778,1570,-1
"1852","Sdhaf2",1529.33333333333,1468.5,-1
"1853","Bop1",1530.22222222222,1766.5,-1
"1854","Edc3",1530.66666666667,1708,-1
"1855","Cln3",1530.94444444444,1691,1
"1856","Thap7",1531,1584,-1
"1857","Trmt2b",1531.05555555556,1745.5,-1
"1858","Kcnq1",1531.44444444444,1480.5,1
"1859","Dlgap4",1532,1644.5,1
"1860","Egln2",1532.11111111111,1655.5,-1
"1861","Armc1",1532.44444444444,1530.5,-1
"1862","Uba1",1532.44444444444,1802.5,-1
"1863","Atad1",1532.88888888889,1437.5,-1
"1864","Trappc5",1532.88888888889,1392.5,-1
"1865","Pex26",1533.05555555556,1569.5,-1
"1866","Slc22a4",1533.11111111111,1751,-1
"1867","Dtymk",1533.33333333333,1660.5,-1
"1868","Tmem238",1533.55555555556,1566,-1
"1869","Brcc3",1533.61111111111,1547.5,-1
"1870","Hmbs",1533.88888888889,1488,-1
"1871","Tbrg4",1533.88888888889,1763,-1
"1872","Tab1",1534.33333333333,1565,1
"1873","Eml5",1534.72222222222,1553.5,-1
"1874","Ciao1",1535.44444444444,1735,-1
"1875","Tjp2",1535.5,1679.5,1
"1876","Slc25a38",1535.55555555556,1729,-1
"1877","Slc7a6os",1535.55555555556,1596.5,-1
"1878","B4galt7",1536.27777777778,1586.5,-1
"1879","D3Ertd751e",1536.61111111111,1590.5,-1
"1880","Mtmr1",1536.61111111111,1659.5,-1
"1881","Farp2",1537.16666666667,1640,-1
"1882","Vps37a",1537.61111111111,1455,-1
"1883","Sdhc",1538.22222222222,1376,-1
"1884","Aimp1",1538.27777777778,1533.5,-1
"1885","Pias2",1539.38888888889,1621,-1
"1886","Pstk",1539.38888888889,1613,-1
"1887","Pim3",1539.5,1834,-1
"1888","Pik3cb",1540.27777777778,1643.5,1
"1889","Txndc9",1540.66666666667,1510.5,-1
"1890","Larp4",1541.27777777778,1520.5,-1
"1891","Dgat1",1541.27777777778,1716,-1
"1892","Mark4",1541.5,1730.5,1
"1893","Tlcd1",1541.5,1628.5,-1
"1894","Agrn",1542.83333333333,1588.5,1
"1895","Xrcc6",1542.94444444444,1509,-1
"1896","Rit1",1543.66666666667,1517.5,1
"1897","Ddx60",1543.72222222222,1685,1
"1898","Ppp2r1a",1543.77777777778,1525.5,1
"1899","Itga1",1544.05555555556,1899.5,1
"1900","Cic",1544.11111111111,1638,1
"1901","Wdr73",1544.38888888889,1758,1
"1902","Mrpl4",1544.72222222222,1699,-1
"1903","Tbc1d5",1545,1578.5,1
"1904","Dnajb4",1545,1691.5,-1
"1905","Taf1c",1545.27777777778,1534.5,1
"1906","Kdelr1",1545.66666666667,1843,-1
"1907","Exoc7",1546.05555555556,1590,-1
"1908","Prpf19",1546.11111111111,1549,1
"1909","Rasa2",1546.5,1759.5,1
"1910","Aven",1546.72222222222,1491,-1
"1911","Srsf7",1546.83333333333,1431,-1
"1912","Mtmr6",1548,1529.5,1
"1913","Lin7c",1548.44444444444,1476,-1
"1914","Ext1",1548.44444444444,1555,1
"1915","Mob4",1548.77777777778,1615.5,-1
"1916","Rapgef2",1549.55555555556,1658,1
"1917","Tc2n",1549.55555555556,1855,1
"1918","Nbea",1549.61111111111,1858,1
"1919","Lsm1",1549.66666666667,1581.5,-1
"1920","Asah1",1550.33333333333,1515,1
"1921","Rbbp5",1551.16666666667,1664,-1
"1922","Clybl",1551.33333333333,1634.5,-1
"1923","Rnpc3",1551.38888888889,1658,-1
"1924","Ehmt1",1551.44444444444,1706.5,-1
"1925","AI987944",1551.55555555556,1558,-1
"1926","Psmc3",1551.66666666667,1454.5,-1
"1927","Ptrh2",1551.83333333333,1690.5,-1
"1928","Zbtb5",1552,1754,-1
"1929","Zbtb48",1552.27777777778,1929.5,-1
"1930","Smim20",1552.33333333333,1699.5,-1
"1931","Ddx47",1552.38888888889,1604,-1
"1932","Cks2",1553.11111111111,1634.5,-1
"1933","Ddx56",1553.44444444444,1832.5,-1
"1934","Txndc11",1553.55555555556,1861.5,-1
"1935","Mapre1",1553.72222222222,1859.5,1
"1936","Vars2",1553.88888888889,1634.5,-1
"1937","Zdhhc4",1553.94444444444,1580,-1
"1938","Kin",1554.55555555556,1524.5,-1
"1939","Stk25",1554.88888888889,1441,-1
"1940","Rgl2",1555,1770.5,1
"1941","Gin1",1555.11111111111,1696,-1
"1942","Eif3g",1555.83333333333,1778,-1
"1943","Eral1",1556.27777777778,1685.5,-1
"1944","Ptpn21",1556.61111111111,1654.5,1
"1945","Rps6kb1",1557.11111111111,1462.5,-1
"1946","Tfg",1557.38888888889,1395,-1
"1947","Hook3",1557.38888888889,1514.5,-1
"1948","Asxl1",1557.77777777778,1563.5,1
"1949","Adgb",1557.94444444444,1500,1
"1950","Mccc1",1558,1514,-1
"1951","Grid1",1558.05555555556,1805.5,-1
"1952","Zfp654",1558.94444444444,1549,-1
"1953","Myo10",1559.55555555556,1800,1
"1954","Zmat2",1560,1709,-1
"1955","Cpsf4",1560.11111111111,1681.5,-1
"1956","Ngrn",1560.22222222222,1476,-1
"1957","Pmpca",1560.38888888889,1730.5,-1
"1958","Ring1",1561.05555555556,1608,-1
"1959","Ltn1",1561.22222222222,1497,-1
"1960","Rala",1561.38888888889,1760.5,1
"1961","Sugt1",1561.44444444444,1628.5,-1
"1962","Thpo",1561.72222222222,1791,-1
"1963","Zfp2",1562.22222222222,1645.5,-1
"1964","Cript",1562.5,1698.5,-1
"1965","Tmem126b",1562.94444444444,1693,-1
"1966","Slc35b2",1563,1673,-1
"1967","Dld",1563,1569,-1
"1968","Atpaf2",1563.5,1802.5,-1
"1969","2310022A10Rik",1563.55555555556,1520,1
"1970","Rtf1",1563.72222222222,1645,-1
"1971","Gga2",1563.94444444444,1684.5,1
"1972","Gpaa1",1564.05555555556,1507,-1
"1973","Pacs1",1564.11111111111,1384.5,1
"1974","Josd2",1564.27777777778,1686,-1
"1975","Pms1",1564.27777777778,1582,-1
"1976","Gnptg",1564.33333333333,1718.5,-1
"1977","Exosc2",1564.38888888889,1513.5,-1
"1978","Atg16l1",1564.5,1696.5,-1
"1979","Lrrk1",1565.11111111111,1520.5,1
"1980","Pgpep1l",1565.44444444444,1711,-1
"1981","Malsu1",1566.55555555556,1596,-1
"1982","Mtmr12",1566.66666666667,1421,1
"1983","Mfsd8",1567.22222222222,1580.5,-1
"1984","Stx1b",1567.44444444444,1627,-1
"1985","Rsl1d1",1568,1480.5,-1
"1986","Cideb",1568,1769,-1
"1987","Osgep",1568.11111111111,1643,-1
"1988","Zfp946",1568.27777777778,1720,-1
"1989","Pdcd2l",1568.33333333333,1634.5,-1
"1990","Dalrd3",1569.66666666667,1466,-1
"1991","Cyb5rl",1569.83333333333,1587,-1
"1992","Sntb2",1570.05555555556,1701.5,1
"1993","Rpl39",1570.16666666667,2075.5,-1
"1994","Etv5",1570.16666666667,1681.5,1
"1995","Mast4",1570.16666666667,1547,1
"1996","Dgke",1571.33333333333,1617.5,1
"1997","Ythdf3",1571.44444444444,1566,-1
"1998","Poldip2",1571.5,1561.5,-1
"1999","Mdc1",1571.55555555556,1495,1
"2000","Rps17",1571.83333333333,1738,-1
"2001","Ggnbp2",1571.83333333333,1663.5,-1
"2002","Cpsf1",1571.83333333333,1832,-1
"2003","Drg2",1571.83333333333,1735.5,-1
"2004","Csnk2b",1572,1283.5,-1
"2005","Specc1l",1572.5,1589,1
"2006","Puf60",1573.27777777778,1701.5,-1
"2007","Atp6v1h",1573.55555555556,1671,-1
"2008","Glod4",1573.77777777778,1592.5,-1
"2009","Slc44a3",1574,1724,1
"2010","Hs1bp3",1574.22222222222,1554.5,1
"2011","Mrps12",1574.27777777778,1733,-1
"2012","Ap1ar",1574.33333333333,1699,1
"2013","Dzip3",1574.61111111111,1582.5,1
"2014","Rprd2",1575.44444444444,1614,-1
"2015","Fam228b",1575.5,1562,-1
"2016","Ubac1",1575.61111111111,1661.5,-1
"2017","Arl6ip6",1576.33333333333,1436,-1
"2018","Caprin2",1576.88888888889,1689.5,1
"2019","Xab2",1577,1532.5,-1
"2020","Wwox",1577.33333333333,1599,-1
"2021","Tmem208",1578.11111111111,1677,-1
"2022","Ppid",1578.55555555556,1525.5,-1
"2023","Dcun1d3",1578.88888888889,1594,1
"2024","Mri1",1579.38888888889,1561.5,-1
"2025","Mrpl10",1580.05555555556,1578.5,-1
"2026","Plagl2",1581.16666666667,1726.5,1
"2027","Yrdc",1581.33333333333,1690,-1
"2028","Nudcd1",1581.44444444444,1522,-1
"2029","Srsf1",1581.88888888889,1751,-1
"2030","Dnajc11",1581.88888888889,1754.5,-1
"2031","Polr2f",1582.27777777778,1646.5,-1
"2032","Exosc4",1582.83333333333,1792.5,-1
"2033","Sephs1",1582.88888888889,1691,-1
"2034","Rsrc2",1582.88888888889,1777,-1
"2035","Trnau1ap",1582.88888888889,1765,-1
"2036","Zcchc17",1584.05555555556,1725.5,-1
"2037","Ing2",1584.11111111111,1402,-1
"2038","Cog8",1584.11111111111,1765,-1
"2039","Eif3e",1584.72222222222,1783.5,-1
"2040","Eif3d",1585.16666666667,1651.5,-1
"2041","Nlk",1585.22222222222,1685.5,-1
"2042","N4bp1",1585.83333333333,1758,1
"2043","Sass6",1585.88888888889,1614.5,1
"2044","Polb",1586.05555555556,1608,-1
"2045","Pde7a",1586.27777777778,1810,1
"2046","Sri",1586.38888888889,1829,-1
"2047","Rps27a",1586.44444444444,1868,-1
"2048","Zfand1",1586.55555555556,1597,-1
"2049","Sp4",1586.66666666667,1689.5,-1
"2050","Cenpj",1586.83333333333,1629.5,1
"2051","Copb1",1586.83333333333,1773.5,-1
"2052","Cpsf3",1586.94444444444,1743,-1
"2053","Tfpt",1587.5,1628.5,-1
"2054","Mapk1",1587.88888888889,1846,-1
"2055","Sacs",1587.88888888889,1732.5,1
"2056","Smc6",1588.05555555556,1761,1
"2057","Rbm7",1588.16666666667,1572,-1
"2058","Clp1",1589.11111111111,1919.5,-1
"2059","Idua",1589.16666666667,1667,1
"2060","Saysd1",1589.33333333333,1744,-1
"2061","Myo18a",1589.44444444444,1848.5,1
"2062","Ssbp1",1590.61111111111,1750,-1
"2063","Mief2",1590.72222222222,1376,-1
"2064","Ankrd13c",1591.38888888889,1779,-1
"2065","Mocos",1591.44444444444,1781,-1
"2066","Hdac6",1592.16666666667,1381.5,-1
"2067","Rnf41",1592.27777777778,1602,1
"2068","Iqsec2",1592.77777777778,1722.5,1
"2069","Ppp1r11",1593.11111111111,1610.5,-1
"2070","Tdp1",1593.11111111111,1543.5,1
"2071","Slc25a5",1593.16666666667,1698.5,-1
"2072","4933427D14Rik",1593.22222222222,1581.5,1
"2073","Brd1",1593.22222222222,1617.5,-1
"2074","Lrp12",1593.27777777778,1724.5,1
"2075","Bola2",1593.38888888889,2012.5,-1
"2076","Bccip",1594.05555555556,1735,-1
"2077","Rad18",1594.05555555556,1565.5,1
"2078","Gpatch2",1594.22222222222,1548.5,-1
"2079","Lbr",1594.55555555556,1846,-1
"2080","Rab35",1595.38888888889,1572.5,1
"2081","Usp4",1595.38888888889,1666,-1
"2082","Peli2",1595.61111111111,1693,-1
"2083","Taco1",1595.83333333333,1619.5,-1
"2084","Cdk19",1595.83333333333,1623,1
"2085","Tmem88b",1595.94444444444,1815,-1
"2086","Maml3",1596,1786,-1
"2087","Madd",1596.05555555556,1594,-1
"2088","Zfp119a",1596.22222222222,1591.5,-1
"2089","Ttc17",1596.5,2005,1
"2090","Npepps",1596.94444444444,1638,1
"2091","Mms22l",1597.22222222222,1552,1
"2092","Rpl31",1597.55555555556,1773,-1
"2093","Soat2",1598.66666666667,2015.5,1
"2094","Trp53bp1",1599.11111111111,1690.5,1
"2095","Erlec1",1599.27777777778,1628,-1
"2096","Ckap5",1599.44444444444,1597,1
"2097","Pafah1b2",1600.66666666667,1618,1
"2098","Iqce",1601.05555555556,1738,1
"2099","Zbtb43",1601.55555555556,1728.5,-1
"2100","Zfp787",1601.61111111111,1632,-1
"2101","Natd1",1601.94444444444,1700.5,1
"2102","Gpr108",1601.94444444444,1390,-1
"2103","Zrsr1",1601.94444444444,1524,-1
"2104","Drosha",1602.44444444444,1644.5,1
"2105","Llgl1",1602.83333333333,1646.5,1
"2106","Mrpl37",1603.88888888889,1689,-1
"2107","Brf1",1606.55555555556,1637,-1
"2108","Ror1",1607,1584.5,-1
"2109","Kdm3b",1607.22222222222,1693,1
"2110","Abca8b",1607.88888888889,1804.5,1
"2111","Ufsp2",1608.27777777778,1683.5,-1
"2112","Hnrnpl",1608.5,1648,-1
"2113","Cfap20",1608.5,1830,-1
"2114","Tshz3",1608.66666666667,1737.5,1
"2115","Eif1b",1608.77777777778,1945,-1
"2116","Gjc3",1609.27777777778,1863.5,-1
"2117","Senp1",1609.5,1719.5,1
"2118","Ccnc",1609.94444444444,1716.5,-1
"2119","Snrpd1",1610.66666666667,1750,-1
"2120","Dhx33",1610.72222222222,1636,-1
"2121","Mettl8",1610.83333333333,1734,-1
"2122","Trmt10c",1611.61111111111,1889.5,-1
"2123","Synj1",1612.55555555556,1718,1
"2124","Ppp6r1",1613.11111111111,1573,-1
"2125","Arnt",1613.22222222222,1479,1
"2126","Herc3",1613.22222222222,1693.5,1
"2127","Fam207a",1613.38888888889,1716,-1
"2128","Trappc13",1613.5,1674,-1
"2129","Mrpl57",1614.11111111111,1644,-1
"2130","Pebp1",1614.33333333333,1819,-1
"2131","Cep44",1614.72222222222,1490,-1
"2132","C2cd5",1614.77777777778,1862,1
"2133","Pikfyve",1615.5,1645,-1
"2134","Sars2",1615.77777777778,1589.5,-1
