"","gene_symbol","mean_rank","median_rank","direction_foldchange"
"1158","Rell1",1276.72222222222,1429,1
"1159","Abhd14a",1278.5,1216.5,-1
"1160","Steap2",1279.33333333333,1124.5,1
"1161","Hbs1l",1279.83333333333,1177.5,-1
"1162","Rpl18",1280,1276.5,-1
"1163","Igsf5",1280,1264,-1
"1164","Snx6",1280.44444444444,1348.5,1
"1165","Scp2",1281.66666666667,1033,-1
"1166","Mrpl32",1281.72222222222,1224.5,-1
"1167","Cc2d1b",1282.33333333333,1231.5,1
"1168","Eif3h",1282.55555555556,1234,-1
"1169","Gtf2e1",1283.22222222222,1453.5,-1
"1170","Olfm2",1283.38888888889,1317,1
"1171","Mark2",1283.44444444444,1299.5,1
"1172","Atl2",1284.22222222222,1219,-1
"1173","Acp1",1284.27777777778,1204.5,-1
"1174","Slc29a3",1285.44444444444,1201.5,1
"1175","Hsd17b12",1285.5,1345,-1
"1176","Arl6ip4",1286.44444444444,1066,-1
"1177","Plin3",1287.05555555556,1641.5,1
"1178","Epm2aip1",1289,1290.5,-1
"1179","Snx18",1289.38888888889,1200.5,1
"1180","Tnfrsf1a",1289.5,1269.5,1
"1181","Tmem126a",1289.55555555556,1121.5,-1
"1182","Gna13",1290.44444444444,1200.5,1
"1183","Slc35a3",1290.88888888889,1403.5,-1
"1184","Paip2",1291.77777777778,1376.5,-1
"1185","Ccdc117",1292,1304,-1
"1186","Asrgl1",1292,1189.5,1
"1187","Gss",1292.83333333333,1396,1
"1188","Bahd1",1292.88888888889,1353.5,1
"1189","Pcgf2",1293,1151,1
"1190","Psme1",1293.66666666667,1222,-1
"1191","Rps15",1294.44444444444,1535,-1
"1192","Nprl2",1294.5,1230,-1
"1193","Prpf8",1294.61111111111,1237,-1
"1194","Srgap2",1294.88888888889,1242,1
"1195","Vegfa",1295.5,1302,-1
"1196","Rbpms2",1296.11111111111,1139.5,-1
"1197","Arhgap17",1296.16666666667,1121,1
"1198","Tmem176b",1296.61111111111,1080,1
"1199","Sucla2",1296.88888888889,1214.5,-1
"1200","Cox14",1296.94444444444,1325,-1
"1201","Fam210b",1297.22222222222,1094.5,-1
"1202","Pdzrn3",1297.38888888889,1382,1
"1203","Picalm",1297.61111111111,1426,1
"1204","Parp11",1297.94444444444,1357.5,1
"1205","1700001C19Rik",1298.66666666667,1373.5,-1
"1206","Zfp207",1299,1616.5,-1
"1207","Spag9",1299.11111111111,1290,1
"1208","Tmem59",1299.11111111111,1247.5,-1
"1209","Mid1",1299.11111111111,1172,1
"1210","Tial1",1299.16666666667,1299,-1
"1211","Jag1",1299.66666666667,1316.5,1
"1212","Abcf3",1300.05555555556,1304,-1
"1213","Ndufs2",1300.16666666667,1170,-1
"1214","Ino80b",1300.22222222222,1200,-1
"1215","Ormdl2",1300.44444444444,1401,-1
"1216","Zfp277",1300.66666666667,1086.5,-1
"1217","Eif3m",1301,1364.5,-1
"1218","Setbp1",1302.11111111111,1217.5,1
"1219","Ube2e3",1302.77777777778,1251.5,-1
"1220","3110082I17Rik",1302.88888888889,1340,-1
"1221","Pkn1",1303,1268.5,1
"1222","Fundc2",1303.05555555556,1465,1
"1223","Dnajc10",1303.22222222222,1438,1
"1224","Clcc1",1303.33333333333,1287.5,-1
"1225","Fbxo8",1303.5,1271.5,-1
"1226","Snx5",1303.77777777778,1039,1
"1227","Rps26",1304.16666666667,1529,-1
"1228","Mvb12a",1304.38888888889,1249.5,-1
"1229","Cdc42ep5",1305.27777777778,1303,1
"1230","Sin3b",1305.61111111111,1219.5,-1
"1231","Rnf169",1305.77777777778,1072,-1
"1232","Mbd4",1305.83333333333,1078.5,1
"1233","Cdc42",1306.11111111111,1462,1
"1234","Ssu72",1306.27777777778,1313,-1
"1235","Xdh",1306.61111111111,1139.5,1
"1236","Pip5k1c",1306.83333333333,1208,1
"1237","Shmt2",1307.44444444444,1408.5,-1
"1238","Rabggtb",1307.61111111111,1088.5,-1
"1239","Leng1",1308.55555555556,1407.5,-1
"1240","Abcb11",1308.61111111111,1459,-1
"1241","Cltc",1308.83333333333,1313,1
"1242","Neat1",1308.83333333333,1308,1
"1243","Prdx5",1309.11111111111,1478,-1
"1244","Gpr180",1309.33333333333,1379.5,-1
"1245","Chmp4b",1309.72222222222,1255.5,1
"1246","Eif2ak3",1309.72222222222,1297,1
"1247","Psmd6",1310.5,1383.5,-1
"1248","Deptor",1310.88888888889,1110,-1
"1249","Slc39a8",1311.38888888889,1067.5,-1
"1250","Gm16157",1311.55555555556,1317.5,-1
"1251","Clk1",1312.27777777778,1329,-1
"1252","Cyp2j6",1312.61111111111,1436.5,-1
"1253","Fis1",1312.61111111111,1150,-1
"1254","Mtnr1a",1312.77777777778,1212,1
"1255","Apeh",1312.83333333333,1074,-1
"1256","Atad3a",1312.83333333333,1425.5,-1
"1257","Pcmtd2",1312.94444444444,1412,-1
"1258","Dlg5",1313.11111111111,1159,1
"1259","Sil1",1313.16666666667,1184.5,-1
"1260","Sh3glb1",1314.22222222222,1262.5,1
"1261","Grb14",1314.22222222222,1522.5,-1
"1262","2810459M11Rik",1314.27777777778,1419,-1
"1263","Mlec",1315.16666666667,1394,1
"1264","Gm2a",1315.33333333333,1431.5,-1
"1265","Sra1",1315.5,1364.5,-1
"1266","Lix1l",1315.94444444444,1307,1
