"","Genes","detection_rate","log2_dec_rate"
"1","Dpyd",1,0.000144262291094538
"2","Ptprd",1,0.000144262291094538
"3","Adk",1,0.000144262291094538
"4","Immp2l",1,0.000144262291094538
"5","Gphn",1,0.000144262291094538
"6","Ghr",1,0.000144262291094538
"7","Zbtb20",1,0.000144262291094538
"8","Gm42418",1,0.000144262291094538
"9","Malat1",1,0.000144262291094538
"10","Pid1",0.999,-0.00129901017910335
"11","Nfia",0.999,-0.00129901017910335
"12","Luc7l2",0.999,-0.00129901017910335
"13","Pard3",0.999,-0.00129901017910335
"14","Thrb",0.999,-0.00129901017910335
"15","Neat1",0.999,-0.00129901017910335
"16","Rabgap1l",0.998,-0.00274372794542711
"17","Magi1",0.998,-0.00274372794542711
"18","Egfr",0.998,-0.00274372794542711
"19","Fbxl17",0.998,-0.00274372794542711
"20","Abcc2",0.998,-0.00274372794542711
"21","Hmgcs2",0.997,-0.00418989390542383
"22","Nfib",0.997,-0.00418989390542383
"23","Cyp3a25",0.997,-0.00418989390542383
"24","Nr1h4",0.997,-0.00418989390542383
"25","Vwa8",0.997,-0.00418989390542383
"26","Iqgap2",0.997,-0.00418989390542383
"27","Ppara",0.997,-0.00418989390542383
"28","Sox5",0.996,-0.00563751096536291
"29","Atxn1",0.996,-0.00563751096536291
"30","Plcb1",0.995,-0.00708658204027108
"31","Atp11c",0.995,-0.00708658204027108
"32","Fggy",0.995,-0.00708658204027108
"33","Acox1",0.995,-0.00708658204027108
"34","Prr16",0.995,-0.00708658204027108
"35","9030622O22Rik",0.994,-0.00853711005396763
"36","Klf12",0.994,-0.00853711005396763
"37","Agmo",0.994,-0.00853711005396763
"38","Acsl1",0.993,-0.00998909793909982
"39","Lonp2",0.993,-0.00998909793909982
"40","Ttc39c",0.993,-0.00998909793909982
"41","Slc25a13",0.992,-0.0114425486371784
"42","Dennd5b",0.992,-0.0114425486371784
"43","Ptprk",0.992,-0.0114425486371784
"44","Rbm47",0.991,-0.0128974650986136
"45","Gc",0.991,-0.0128974650986136
"46","Mug1",0.991,-0.0128974650986136
"47","Pzp",0.991,-0.0128974650986136
"48","Cdh2",0.991,-0.0128974650986136
"49","Rapgef4",0.99,-0.0143538502827505
"50","Cat",0.99,-0.0143538502827505
"51","Cped1",0.99,-0.0143538502827505
"52","Rsrp1",0.989,-0.0158117071579059
"53","Arid5b",0.989,-0.0158117071579059
"54","Mtus1",0.989,-0.0158117071579059
"55","Psd3",0.989,-0.0158117071579059
"56","Ptprg",0.988,-0.0172710387014041
"57","Apob",0.988,-0.0172710387014041
"58","Mia2",0.988,-0.0172710387014041
"59","Slc22a30",0.988,-0.0172710387014041
"60","A1cf",0.988,-0.0172710387014041
"61","Rere",0.987,-0.0187318478996134
"62","Mtss1",0.986,-0.0201941377479831
"63","Cfh",0.985,-0.02165791125108
"64","Arhgap42",0.985,-0.02165791125108
"65","Mlxipl",0.984,-0.0231231714226256
"66","Lncpint",0.984,-0.0231231714226256
"67","Ext1",0.984,-0.0231231714226256
"68","Slc27a2",0.982,-0.0260581638719462
"69","Akap13",0.982,-0.0260581638719462
"70","St3gal4",0.982,-0.0260581638719462
"71","Cmah",0.982,-0.0260581638719462
"72","Dock4",0.982,-0.0260581638719462
"73","Zfand3",0.982,-0.0260581638719462
"74","Errfi1",0.981,-0.0275279022232736
"75","Slco1b2",0.981,-0.0275279022232736
"76","Bckdhb",0.981,-0.0275279022232736
"77","Atxn2",0.979,-0.0304718784328731
"78","Naaladl2",0.978,-0.0319461224206406
"79","Sox6",0.978,-0.0319461224206406
"80","Rbm39",0.977,-0.0334218744323899
"81","Abcd3",0.977,-0.0334218744323899
"82","Zcchc7",0.977,-0.0334218744323899
"83","Ankrd17",0.977,-0.0334218744323899
"84","Adipor2",0.977,-0.0334218744323899
"85","Mat1a",0.977,-0.0334218744323899
"86","Fam214a",0.977,-0.0334218744323899
"87","Sntb1",0.977,-0.0334218744323899
"88","Park2",0.977,-0.0334218744323899
"89","Rnf169",0.976,-0.0348991375564365
"90","Sord",0.975,-0.0363779148905924
"91","Lpp",0.975,-0.0363779148905924
"92","Chd9",0.974,-0.0378582095422052
"93","Ralgapa2",0.973,-0.0393400246281973
"94","Chchd3",0.973,-0.0393400246281973
"95","Ces3a",0.973,-0.0393400246281973
"96","Rbfox2",0.973,-0.0393400246281973
"97","Mob3b",0.972,-0.0408233632751055
"98","Alb",0.972,-0.0408233632751055
"99","Nr3c2",0.972,-0.0408233632751055
"100","Epb41",0.971,-0.0423082286191202
"101","Tmcc1",0.971,-0.0423082286191202
"102","Slc7a2",0.971,-0.0423082286191202
"103","Sik3",0.971,-0.0423082286191202
"104","Msra",0.97,-0.0437946238061253
"105","Kansl1",0.97,-0.0437946238061253
"106","Hgd",0.97,-0.0437946238061253
"107","Mllt10",0.969,-0.0452825519917386
"108","Diaph2",0.967,-0.0482630200301687
"109","Hsd3b3",0.967,-0.0482630200301687
"110","Suclg2",0.967,-0.0482630200301687
"111","Foxp1",0.967,-0.0482630200301687
"112","Man2a1",0.967,-0.0482630200301687
"113","Ddi2",0.965,-0.0512496581755548
"114","Vps13b",0.965,-0.0512496581755548
"115","Tcf7l2",0.965,-0.0512496581755548
"116","Gm26917",0.964,-0.0527452990319717
"117","Snd1",0.963,-0.0542424920273724
"118","Deptor",0.963,-0.0542424920273724
"119","Gbe1",0.962,-0.0557412403866465
"120","Gm4951",0.962,-0.0557412403866465
"121","Wwox",0.961,-0.0572415473447447
"122","Glud1",0.961,-0.0572415473447447
"123","Dip2c",0.961,-0.0572415473447447
"124","Kynu",0.96,-0.0587434161467207
"125","Smarca2",0.96,-0.0587434161467207
"126","Plpp3",0.959,-0.060246850047773
"127","Sugct",0.959,-0.060246850047773
"128","Plg",0.959,-0.060246850047773
"129","Ttr",0.959,-0.060246850047773
"130","Fn1",0.958,-0.0617518523132876
"131","Magi3",0.958,-0.0617518523132876
"132","Rbm25",0.958,-0.0617518523132876
"133","Cps1",0.957,-0.0632584262188805
"134","B3galt1",0.957,-0.0632584262188805
"135","Uox",0.957,-0.0632584262188805
"136","Macf1",0.957,-0.0632584262188805
"137","Pah",0.957,-0.0632584262188805
"138","Bcas3",0.957,-0.0632584262188805
"139","Acbd5",0.956,-0.0647665750504401
"140","Sorbs2",0.956,-0.0647665750504401
"141","Arhgef12",0.956,-0.0647665750504401
"142","Abcb4",0.955,-0.0662763021041709
"143","Mgst1",0.954,-0.0677876106866359
"144","Pcyt2",0.954,-0.0677876106866359
"145","Ahsg",0.954,-0.0677876106866359
"146","Ncoa2",0.953,-0.0693005041148006
"147","Man1a",0.953,-0.0693005041148006
"148","Erbb4",0.952,-0.0708149857160768
"149","Sh3d19",0.952,-0.0708149857160768
"150","Plekha5",0.952,-0.0708149857160768
"151","Apoe",0.952,-0.0708149857160768
"152","Slc25a21",0.952,-0.0708149857160768
"153","Chsy3",0.951,-0.0723310588283658
"154","Serpinc1",0.95,-0.0738487268001033
"155","Sult2a8",0.95,-0.0738487268001033
"156","Gm20319",0.948,-0.0768888607686035
"157","Tbc1d5",0.948,-0.0768888607686035
"158","Rbp4",0.948,-0.0768888607686035
"159","Celf1",0.947,-0.0784113335153082
"160","Jmjd1c",0.946,-0.079935414621436
"161","Insr",0.946,-0.079935414621436
"162","Tnrc6b",0.946,-0.079935414621436
"163","Arid1b",0.946,-0.079935414621436
"164","Gfra1",0.946,-0.079935414621436
"165","Taok3",0.945,-0.081461107488763
"166","Pde4d",0.945,-0.081461107488763
"167","Ppp3ca",0.944,-0.0829884155298695
"168","Clec2d",0.943,-0.0845173421681855
"169","Phldb2",0.943,-0.0845173421681855
"170","Mbd5",0.942,-0.0860478908380366
"171","Cyb5a",0.942,-0.0860478908380366
"172","Acaca",0.941,-0.0875800649846904
"173","Ncor1",0.94,-0.0891138680644031
"174","Dpys",0.94,-0.0891138680644031
"175","Kif1b",0.939,-0.0906493035444659
"176","Chn2",0.939,-0.0906493035444659
"177","Cyp7b1",0.938,-0.0921863749032529
"178","Azgp1",0.938,-0.0921863749032529
"179","Onecut2",0.938,-0.0921863749032529
"180","Cep85l",0.937,-0.0937250856302671
"181","Rabep1",0.937,-0.0937250856302671
"182","Ppp2r5e",0.937,-0.0937250856302671
"183","Srsf5",0.937,-0.0937250856302671
"184","Dennd1a",0.935,-0.0968074392029252
"185","Nsd1",0.935,-0.0968074392029252
"186","Foxn3",0.935,-0.0968074392029252
"187","Trip12",0.934,-0.0983510890836528
"188","Camk1d",0.934,-0.0983510890836528
"189","Pitpnc1",0.933,-0.0998963924028721
"190","Pde3b",0.932,-0.101443352706452
"191","St3gal3",0.931,-0.102991973551682
"192","Nsd3",0.931,-0.102991973551682
"193","Numb",0.931,-0.102991973551682
"194","Srrm2",0.931,-0.102991973551682
"195","Xiap",0.93,-0.104542258507317
"196","Fmo5",0.93,-0.104542258507317
"197","Vti1a",0.93,-0.104542258507317
"198","Ube2e2",0.929,-0.10609421115363
"199","Hc",0.928,-0.107647835082461
"200","C8a",0.928,-0.107647835082461
"201","Tcf12",0.928,-0.107647835082461
"202","Akr1c6",0.928,-0.107647835082461
"203","Cobll1",0.927,-0.109203133897266
"204","Ddx17",0.927,-0.109203133897266
"205","Evi5",0.926,-0.110760111213168
"206","Dapk1",0.926,-0.110760111213168
"207","Arl15",0.926,-0.110760111213168
"208","Prox1",0.925,-0.112318770657008
"209","Mkln1",0.925,-0.112318770657008
"210","Osbpl8",0.925,-0.112318770657008
"211","Slc39a14",0.925,-0.112318770657008
"212","Abcb11",0.924,-0.113879115867392
"213","Erc1",0.924,-0.113879115867392
"214","Fbp1",0.924,-0.113879115867392
"215","Ube2h",0.923,-0.115441150494748
"216","Cmss1",0.923,-0.115441150494748
"217","Abca1",0.922,-0.117004878201373
"218","Scp2",0.922,-0.117004878201373
"219","Ankrd11",0.922,-0.117004878201373
"220","Tdo2",0.921,-0.118570302661484
"221","Slc38a4",0.921,-0.118570302661484
"222","Ugt2b36",0.92,-0.120137427561274
"223","Arhgap5",0.92,-0.120137427561274
"224","Alcam",0.92,-0.120137427561274
"225","Sec24a",0.919,-0.121706256598958
"226","Atrnl1",0.919,-0.121706256598958
"227","Pbld1",0.917,-0.124849041941323
"228","Nedd4l",0.917,-0.124849041941323
"229","Sorbs1",0.917,-0.124849041941323
"230","4930402H24Rik",0.916,-0.126423005703037
"231","Usp34",0.915,-0.12799868851682
"232","Ddx5",0.915,-0.12799868851682
"233","Nr6a1",0.913,-0.131155226349479
"234","Itpr1",0.913,-0.131155226349479
"235","Apoa2",0.912,-0.132736088923711
"236","Slc38a3",0.912,-0.132736088923711
"237","Slc22a23",0.912,-0.132736088923711
"238","Gsta3",0.911,-0.134318685660833
"239","Aox3",0.91,-0.135903020369684
"240","Crp",0.91,-0.135903020369684
"241","Pkp4",0.91,-0.135903020369684
"242","Pum1",0.91,-0.135903020369684
"243","Strbp",0.909,-0.13748909687166
"244","Fto",0.909,-0.13748909687166
"245","Strn3",0.909,-0.13748909687166
"246","Brd4",0.909,-0.13748909687166
"247","Hectd1",0.908,-0.13907691900078
"248","Nipbl",0.908,-0.13907691900078
"249","Birc6",0.908,-0.13907691900078
"250","Lactb2",0.907,-0.140666490603732
"251","Mbnl1",0.906,-0.142257815539934
"252","Mylk",0.906,-0.142257815539934
"253","Ankhd1",0.906,-0.142257815539934
"254","Atrn",0.904,-0.145445740913747
"255","Itch",0.904,-0.145445740913747
"256","Dlc1",0.904,-0.145445740913747
"257","Colec12",0.904,-0.145445740913747
"258","Nudt7",0.903,-0.147042349134347
"259","Eci2",0.903,-0.147042349134347
"260","Ehmt1",0.902,-0.14864072625429
"261","Peak1",0.902,-0.14864072625429
"262","Rreb1",0.902,-0.14864072625429
"263","Kng1",0.902,-0.14864072625429
"264","Zeb1",0.902,-0.14864072625429
"265","Hoga1",0.902,-0.14864072625429
"266","Pde4dip",0.901,-0.150240876197489
"267","Adcy9",0.901,-0.150240876197489
"268","Zhx3",0.9,-0.151842802900928
"269","Faf1",0.9,-0.151842802900928
"270","Igf1",0.9,-0.151842802900928
"271","Gigyf2",0.898,-0.155052002402163
"272","Utrn",0.898,-0.155052002402163
"273","Ggnbp2",0.897,-0.156659283139807
"274","Pcx",0.897,-0.156659283139807
"275","Nav2",0.896,-0.158268356517503
"276","Larp4b",0.896,-0.158268356517503
"277","Crebbp",0.896,-0.158268356517503
"278","Son",0.896,-0.158268356517503
"279","Phyh",0.895,-0.159879226538468
"280","Ambra1",0.895,-0.159879226538468
"281","Por",0.894,-0.161491897219344
"282","Mug2",0.894,-0.161491897219344
"283","Il1rap",0.893,-0.163106372590257
"284","Vps13d",0.892,-0.164722656694879
"285","Spag9",0.892,-0.164722656694879
"286","Comt",0.892,-0.164722656694879
"287","Lpgat1",0.891,-0.166340753590487
"288","Ash1l",0.891,-0.166340753590487
"289","Pan3",0.891,-0.166340753590487
"290","Gbf1",0.891,-0.166340753590487
"291","Phf21a",0.89,-0.167960667348026
"292","Ubn2",0.889,-0.169582402052169
"293","Rora",0.889,-0.169582402052169
"294","Acaa1b",0.889,-0.169582402052169
"295","Abca6",0.889,-0.169582402052169
"296","2010111I01Rik",0.889,-0.169582402052169
"297","Fhit",0.888,-0.171205961801378
"298","Marc1",0.887,-0.172831350707969
"299","Rbm6",0.887,-0.172831350707969
"300","Smg6",0.887,-0.172831350707969
"301","Hibadh",0.886,-0.174458572898173
"302","Gpatch8",0.886,-0.174458572898173
"303","Selenop",0.886,-0.174458572898173
"304","Phlpp1",0.885,-0.176087632512198
"305","Clmn",0.885,-0.176087632512198
"306","Adra1b",0.884,-0.177718533704293
"307","Hnf4aos",0.883,-0.179351280642812
"308","Hao1",0.882,-0.180985877510277
"309","Slc2a2",0.882,-0.180985877510277
"310","Larp1b",0.882,-0.180985877510277
"311","Arih1",0.882,-0.180985877510277
"312","Sema4g",0.882,-0.180985877510277
"313","Ctif",0.881,-0.182622328503442
"314","Ugt2b5",0.88,-0.18426063783336
"315","Tmtc2",0.88,-0.18426063783336
"316","Ephx2",0.88,-0.18426063783336
"317","Pik3r1",0.88,-0.18426063783336
"318","Zfp148",0.88,-0.18426063783336
"319","Huwe1",0.879,-0.185900809725447
"320","Smoc1",0.879,-0.185900809725447
"321","Caprin1",0.877,-0.189186758169985
"322","Kif13b",0.877,-0.189186758169985
"323","Zfp407",0.877,-0.189186758169985
"324","Kmt2c",0.876,-0.190832543245668
"325","Tmem135",0.876,-0.190832543245668
"326","Rhobtb1",0.876,-0.190832543245668
"327","Cpq",0.876,-0.190832543245668
"328","Ccnl2",0.875,-0.192480207930116
"329","Slc4a4",0.875,-0.192480207930116
"330","Exoc4",0.875,-0.192480207930116
"331","Plcxd2",0.875,-0.192480207930116
"332","Tmem56",0.874,-0.194129756521541
"333","Ell2",0.874,-0.194129756521541
"334","Raph1",0.873,-0.19578119333292
"335","Lrba",0.873,-0.19578119333292
"336","Shroom3",0.873,-0.19578119333292
"337","Garem1",0.873,-0.19578119333292
"338","Ndrg2",0.872,-0.197434522692056
"339","Ptprj",0.871,-0.199089748941648
"340","Sec63",0.87,-0.20074687643936
"341","Aldh1a1",0.87,-0.20074687643936
"342","Txlng",0.867,-0.205729710223772
"343","Gpcpd1",0.866,-0.207394486592311
"344","Fchsd2",0.866,-0.207394486592311
"345","Ube2g1",0.866,-0.207394486592311
"346","Sdc2",0.866,-0.207394486592311
"347","H2-Q10",0.866,-0.207394486592311
"348","Prkag2",0.865,-0.209061186224181
"349","Irf2",0.864,-0.210729813568291
"350","Gnaq",0.864,-0.210729813568291
"351","Ehbp1",0.863,-0.212400373089006
"352","Gcnt2",0.863,-0.212400373089006
"353","Abcc6",0.861,-0.21574730659542
"354","Cyp2e1",0.86,-0.21742368958777
"355","Dlg1",0.86,-0.21742368958777
"356","Ppp2r5a",0.859,-0.219102022770173
"357","Zranb1",0.859,-0.219102022770173
"358","Lin7a",0.858,-0.220782310685352
"359","Rbpms",0.858,-0.220782310685352
"360","Clybl",0.858,-0.220782310685352
"361","Nr5a2",0.857,-0.222464557891921
"362","F5",0.857,-0.222464557891921
"363","Fam193a",0.857,-0.222464557891921
"364","Etv6",0.856,-0.224148768964459
"365","Spop",0.855,-0.225834948493583
"366","Arid4b",0.855,-0.225834948493583
"367","Ubr5",0.855,-0.225834948493583
"368","Mcc",0.855,-0.225834948493583
"369","Baz2b",0.854,-0.227523101086028
"370","Trpm7",0.854,-0.227523101086028
"371","Lpcat3",0.854,-0.227523101086028
"372","Adgrl2",0.853,-0.229213231364717
"373","Cmip",0.853,-0.229213231364717
"374","Prlr",0.853,-0.229213231364717
"375","Lamp2",0.852,-0.230905343968841
"376","Car3",0.852,-0.230905343968841
"377","Prodh2",0.852,-0.230905343968841
"378","Cradd",0.852,-0.230905343968841
"379","Wwc1",0.852,-0.230905343968841
"380","Nr1i3",0.851,-0.232599443553934
"381","Nlrp6",0.851,-0.232599443553934
"382","Gprin3",0.85,-0.234295534791949
"383","Ces1d",0.85,-0.234295534791949
"384","Gclc",0.85,-0.234295534791949
"385","Myo6",0.85,-0.234295534791949
"386","Znrf3",0.85,-0.234295534791949
"387","Papola",0.85,-0.234295534791949
"388","Gm4788",0.849,-0.235993622371335
"389","Ubr3",0.849,-0.235993622371335
"390","Akr1d1",0.849,-0.235993622371335
"391","Kat2b",0.849,-0.235993622371335
"392","Rrbp1",0.848,-0.237693710997118
"393","Hipk2",0.848,-0.237693710997118
"394","Smurf2",0.848,-0.237693710997118
"395","Atp13a3",0.848,-0.237693710997118
"396","0610005C13Rik",0.847,-0.239395805390975
"397","Wapl",0.847,-0.239395805390975
"398","Lyst",0.847,-0.239395805390975
"399","Dennd1b",0.846,-0.241099910291317
"400","Aqp9",0.845,-0.242806030453363
"401","Cfhr2",0.844,-0.244514170649224
"402","Cpt1a",0.844,-0.244514170649224
"403","Pcmtd1",0.843,-0.246224335667982
"404","Mup3",0.843,-0.246224335667982
"405","Igfbp4",0.843,-0.246224335667982
"406","Pten",0.843,-0.246224335667982
"407","Pck1",0.842,-0.247936530315769
"408","Glt1d1",0.842,-0.247936530315769
"409","Zfand6",0.842,-0.247936530315769
"410","Uvrag",0.842,-0.247936530315769
"411","Ulk2",0.842,-0.247936530315769
"412","Myo1b",0.841,-0.24965075941585
"413","Wwp1",0.841,-0.24965075941585
"414","Osbpl9",0.841,-0.24965075941585
"415","Vegfa",0.841,-0.24965075941585
"416","Apoa1",0.84,-0.251367027808703
"417","Zfr",0.84,-0.251367027808703
"418","Stag1",0.839,-0.253085340352102
"419","Setd5",0.838,-0.254805701921199
"420","Alas1",0.838,-0.254805701921199
"421","Ube2k",0.837,-0.256528117408607
"422","Foxo3",0.837,-0.256528117408607
"423","Col18a1",0.837,-0.256528117408607
"424","Zfhx3",0.837,-0.256528117408607
"425","Cdo1",0.837,-0.256528117408607
"426","AC149090.1",0.837,-0.256528117408607
"427","AI182371",0.836,-0.258252591724484
"428","Pard3b",0.835,-0.259979129796617
"429","Pex14",0.835,-0.259979129796617
"430","Fabp1",0.835,-0.259979129796617
"431","Gpt2",0.834,-0.261707736570506
"432","C4bp",0.833,-0.263438417009447
"433","0610031O16Rik",0.833,-0.263438417009447
"434","Dnajc1",0.83,-0.268642950218339
"435","Snrnp70",0.83,-0.268642950218339
"436","Nktr",0.83,-0.268642950218339
"437","Pdlim5",0.829,-0.270381975309436
"438","Ugp2",0.829,-0.270381975309436
"439","Taf15",0.829,-0.270381975309436
"440","Ern1",0.829,-0.270381975309436
"441","Cdkal1",0.829,-0.270381975309436
"442","Lcor",0.829,-0.270381975309436
"443","Rapgef2",0.828,-0.272123099152057
"444","Eva1a",0.828,-0.272123099152057
"445","Map3k5",0.828,-0.272123099152057
"446","Nedd4",0.828,-0.272123099152057
"447","Mctp2",0.827,-0.273866326818103
"448","Slmap",0.827,-0.273866326818103
"449","Wac",0.827,-0.273866326818103
"450","Map2k5",0.826,-0.27561166339788
"451","Rbms1",0.825,-0.277359114000195
"452","Slc16a2",0.825,-0.277359114000195
"453","Foxo1",0.825,-0.277359114000195
"454","Echdc2",0.825,-0.277359114000195
"455","Cdk8",0.825,-0.277359114000195
"456","AI314180",0.824,-0.279108683752437
"457","Tspan12",0.824,-0.279108683752437
"458","Ldlrad4",0.824,-0.279108683752437
"459","Ogt",0.823,-0.280860377800675
"460","Wdfy3",0.823,-0.280860377800675
"461","Erc2",0.823,-0.280860377800675
"462","Gm34667",0.823,-0.280860377800675
"463","Dcaf6",0.821,-0.284370159463337
"464","Baiap2l1",0.821,-0.284370159463337
"465","Il1r1",0.82,-0.286128257464101
"466","Nek7",0.82,-0.286128257464101
"467","Zfhx4",0.819,-0.287888500533724
"468","Adh1",0.819,-0.287888500533724
"469","Srsf11",0.819,-0.287888500533724
"470","Ces1f",0.819,-0.287888500533724
"471","Dhtkd1",0.818,-0.28965089391303
"472","Kmt2e",0.818,-0.28965089391303
"473","Optn",0.817,-0.291415442862075
"474","Aldob",0.817,-0.291415442862075
"475","Wnk1",0.817,-0.291415442862075
"476","Slc16a10",0.817,-0.291415442862075
"477","Hsd17b2",0.817,-0.291415442862075
"478","Myo1e",0.817,-0.291415442862075
"479","Ap3b1",0.817,-0.291415442862075
"480","Cnot4",0.816,-0.293182152660239
"481","Ascc3",0.816,-0.293182152660239
"482","Herc4",0.816,-0.293182152660239
"483","Asxl2",0.816,-0.293182152660239
"484","Pank1",0.816,-0.293182152660239
"485","Apoc1",0.815,-0.294951028606318
"486","Kng2",0.815,-0.294951028606318
"487","Cpeb4",0.814,-0.296722076018627
"488","Upp2",0.813,-0.298495300235087
"489","Atrx",0.813,-0.298495300235087
"490","Cmtm8",0.813,-0.298495300235087
"491","Lifr",0.813,-0.298495300235087
"492","Kdm2a",0.812,-0.300270706613329
"493","Tmem219",0.811,-0.302048300530787
"494","Rtn3",0.811,-0.302048300530787
"495","Gsk3b",0.81,-0.303828087384795
"496","Lrp1",0.809,-0.30561007259269
"497","Uty",0.809,-0.30561007259269
"498","Sil1",0.809,-0.30561007259269
"499","Phf14",0.808,-0.307394261591905
"500","Chd2",0.808,-0.307394261591905
"501","Prkd3",0.808,-0.307394261591905
"502","Slc35d1",0.807,-0.309180659840073
"503","Atp2a2",0.805,-0.312760106015397
"504","Tns1",0.804,-0.314553164959715
"505","Cdk13",0.804,-0.314553164959715
"506","Gnmt",0.804,-0.314553164959715
"507","Cpeb3",0.804,-0.314553164959715
"508","R3hdm1",0.803,-0.316348455187515
"509","Aass",0.803,-0.316348455187515
"510","Ces1c",0.803,-0.316348455187515
"511","Gk",0.802,-0.318145982258939
"512","Hnf1aos1",0.801,-0.319945751754936
"513","Gcgr",0.801,-0.319945751754936
"514","Atf6",0.8,-0.321747769277367
"515","Ythdf3",0.8,-0.321747769277367
"516","Cdk12",0.8,-0.321747769277367
"517","Picalm",0.799,-0.323552040449113
"518","Map7",0.799,-0.323552040449113
"519","Hook3",0.799,-0.323552040449113
"520","Pcca",0.799,-0.323552040449113
"521","Cflar",0.798,-0.325358570914176
"522","Vmp1",0.798,-0.325358570914176
"523","Wdr33",0.798,-0.325358570914176
"524","Arhgef26",0.797,-0.327167366337787
"525","Daam1",0.797,-0.327167366337787
"526","Cspp1",0.796,-0.328978432406512
"527","Ror1",0.796,-0.328978432406512
"528","Pbx1",0.795,-0.330791774828362
"529","Nisch",0.795,-0.330791774828362
"530","Grb14",0.794,-0.332607399332895
"531","Zfp385b",0.794,-0.332607399332895
"532","Cyb5b",0.794,-0.332607399332895
"533","Ppm1b",0.794,-0.332607399332895
"534","Apoa5",0.793,-0.33442531167133
"535","Mkl2",0.793,-0.33442531167133
"536","AY036118",0.793,-0.33442531167133
"537","Pafah1b1",0.792,-0.336245517616654
"538","Fam172a",0.792,-0.336245517616654
"539","Prkce",0.792,-0.336245517616654
"540","Cp",0.791,-0.338068022963733
"541","Snx29",0.791,-0.338068022963733
"542","Nr3c1",0.791,-0.338068022963733
"543","Rfx7",0.789,-0.341719955152675
"544","Elovl6",0.788,-0.343549393694661
"545","Cyp2j5",0.788,-0.343549393694661
"546","Mgll",0.788,-0.343549393694661
"547","0610040J01Rik",0.787,-0.345381155038874
"548","Nfat5",0.787,-0.345381155038874
"549","Hnrnpc",0.787,-0.345381155038874
"550","Susd6",0.787,-0.345381155038874
"551","Hdlbp",0.786,-0.347215245091244
"552","Tat",0.786,-0.347215245091244
"553","Fars2",0.786,-0.347215245091244
"554","Qk",0.786,-0.347215245091244
"555","Hnrnpu",0.785,-0.349051669780258
"556","Rufy3",0.785,-0.349051669780258
"557","Aldh2",0.785,-0.349051669780258
"558","Smg1",0.785,-0.349051669780258
"559","Atxn7",0.785,-0.349051669780258
"560","Nf1",0.785,-0.349051669780258
"561","Agxt2",0.785,-0.349051669780258
"562","Sfpq",0.784,-0.35089043505707
"563","March6",0.784,-0.35089043505707
"564","AC118710.3",0.784,-0.35089043505707
"565","Fnip2",0.783,-0.352731546895617
"566","Crot",0.783,-0.352731546895617
"567","Ube3a",0.783,-0.352731546895617
"568","Lrpprc",0.783,-0.352731546895617
"569","Rassf3",0.782,-0.354575011292737
"570","Gm20388",0.782,-0.354575011292737
"571","Celf2",0.781,-0.356420834268285
"572","D5Ertd579e",0.781,-0.356420834268285
"573","Tenm3",0.781,-0.356420834268285
"574","Fnip1",0.78,-0.358269021865253
"575","Carmil1",0.78,-0.358269021865253
"576","Dcaf8",0.779,-0.360119580149886
"577","Fgb",0.778,-0.361972515211802
"578","Acnat1",0.778,-0.361972515211802
"579","Cadm1",0.778,-0.361972515211802
"580","Hsd17b4",0.778,-0.361972515211802
"581","Otc",0.776,-0.365685540143552
"582","Ranbp10",0.776,-0.365685540143552
"583","Fndc3a",0.776,-0.365685540143552
"584","Psme4",0.776,-0.365685540143552
"585","Srsf2",0.776,-0.365685540143552
"586","Srek1",0.776,-0.365685540143552
"587","Isoc2a",0.774,-0.369408145849516
"588","Acat1",0.774,-0.369408145849516
"589","Acad11",0.774,-0.369408145849516
"590","Msi2",0.774,-0.369408145849516
"591","Tcf20",0.774,-0.369408145849516
"592","Btbd9",0.774,-0.369408145849516
"593","Dlgap1",0.774,-0.369408145849516
"594","Cadps2",0.773,-0.371273056968674
"595","Cald1",0.773,-0.371273056968674
"596","Slc20a2",0.773,-0.371273056968674
"597","Esr1",0.772,-0.373140381900463
"598","Ces3b",0.772,-0.373140381900463
"599","Pik3c2g",0.771,-0.375010126901529
"600","Xpo7",0.771,-0.375010126901529
"601","Mbnl2",0.771,-0.375010126901529
"602","Hacd3",0.771,-0.375010126901529
"603","Acot12",0.771,-0.375010126901529
"604","Lrrc28",0.77,-0.376882298252875
"605","Lipc",0.77,-0.376882298252875
"606","Stat5b",0.77,-0.376882298252875
"607","Osbpl1a",0.77,-0.376882298252875
"608","Phf20l1",0.769,-0.378756902259987
"609","Mapkap1",0.768,-0.380633945252964
"610","Ttc23",0.768,-0.380633945252964
"611","Pemt",0.768,-0.380633945252964
"612","Ppfibp2",0.767,-0.382513433586644
"613","Acsm1",0.766,-0.384395373640734
"614","R3hdm2",0.766,-0.384395373640734
"615","Ppp6r3",0.766,-0.384395373640734
"616","Chd7",0.764,-0.388166634554099
"617","Fgd6",0.764,-0.388166634554099
"618","Chuk",0.764,-0.388166634554099
"619","Il15ra",0.762,-0.391947779533051
"620","Tfr2",0.761,-0.393842074764354
"621","Ppp1r12a",0.761,-0.393842074764354
"622","Phkb",0.761,-0.393842074764354
"623","Rad54l2",0.761,-0.393842074764354
"624","Prox1os",0.76,-0.395738860523894
"625","Gramd1c",0.76,-0.395738860523894
"626","Cyp27a1",0.759,-0.397638143369145
"627","Nrp1",0.759,-0.397638143369145
"628","Rab10",0.759,-0.397638143369145
"629","Lurap1l",0.758,-0.399539929883518
